area_sqm,rooms,floor,floor_count,build_year,latitude,longitude,distance_to_center,poi_count,distance_to_school,distance_to_healthcare,distance_to_post_office,distance_to_kindergarten,distance_to_restaurant,distance_to_college,distance_to_pharmacy,has_parking,has_balcony,has_elevator,has_security,has_storage,price,listing_year,listing_month
53.29,2,,3,1955,51.73662,19.4504,5,18,0.105,1.562,0.28,0.137,0.332,0.307,0.353,1,1,1,1,0,289000,2023,8
37.68,2,3,4,,51.79144174,19.39444373,4.29,11,0.283,2.536,0.681,0.354,0.178,0.239,0.29,1,1,1,1,1,327500,2023,8
68.07,3,1,4,2022,51.7829,19.4465,0.59,39,0.436,0.914,0.368,0.267,0.257,0.269,0.21,1,1,1,1,1,745000,2023,8
99.2,3,2,4,1995,51.7593,19.4356,2.8,8,0.098,0.62,0.27,0.386,0.205,1.692,0.597,1,1,1,1,1,730000,2023,8
49.64,2,2,3,1952,51.7875,19.4646,0.95,18,0.23,0.719,0.138,0.171,0.471,0.775,0.102,1,1,1,1,1,330000,2023,8
47.22,3,3,4,,51.73943839,19.5032525,5.75,9,0.112,1.836,0.632,0.147,0.31,2.632,0.224,1,1,1,1,1,355000,2023,8
56,2,2,2,1965,51.78571637,19.43923091,1.17,17,0.166,0.429,0.676,0.067,0.336,0.392,0.301,1,1,1,1,1,437000,2023,8
66.84,3,2,10,2023,51.79764305,19.38860375,4.89,13,0.248,3.33,0.39,0.395,0.215,1.034,0.242,1,1,1,1,0,514700,2023,8
36.4,2,4,4,,51.7324159,19.47135396,5.58,27,0.324,0.323,0.276,0.231,0.074,0.351,0.133,1,1,1,1,1,270000,2023,8
72,4,,3,1920,51.76171039,19.45893828,2.22,51,0.047,0.304,0.623,0.297,0.06,0.638,0.209,1,1,1,1,1,525000,2023,8
128,6,3,3,1998,51.72262041,19.50030178,7.26,2,0.686,1.033,0.915,0.294,0.624,2.351,0.445,1,1,1,1,1,846000,2023,8
57,3,6,10,1977,51.78737907,19.44947226,0.75,22,0.267,0.42,0.063,0.295,0.135,0.408,0.182,1,1,1,1,1,449000,2023,8
45,2,2,4,,51.79748621,19.38314293,5.24,15,0.227,3.547,0.131,0.131,0.384,1.243,0.043,1,1,1,1,1,371500,2023,8
60.51,3,,4,1977,51.79244768,19.4811951,2.19,11,0.393,1.859,0.285,0.139,0.265,1.729,0.204,1,1,1,1,1,435000,2023,8
53.19,2,4,4,1959,51.7471,19.4856,4.37,12,0.145,0.544,0.597,0.171,0.245,1.939,0.026,1,1,1,1,1,295000,2023,8
41.35,3,5,5,2023,51.74815213,19.47159844,3.89,7,0.171,0.174,0.972,0.416,0.519,0.97,0.41,1,1,1,1,0,434070,2023,8
41,2,1,4,1964,51.7313113,19.49423937,6.21,18,0.118,1.369,0.405,0.083,0.145,1.796,0.113,1,1,1,1,1,255000,2023,8
52.05,2,1,10,,51.75710913,19.53241031,5.99,30,0.122,0.053,0.301,0.072,0.126,1.898,0.084,1,1,1,1,1,439000,2023,8
36,2,,4,1970,51.73628237,19.48782427,5.52,19,0.199,1.031,0.045,0.225,0.119,1.522,0.125,1,1,1,1,1,295000,2023,8
63,3,1,4,2020,51.7594644,19.48188098,3.08,16,0.371,0.365,0.561,0.307,0.231,1.138,0.445,1,1,1,1,0,560000,2023,8
60,4,2,4,1970,51.78830282,19.45927888,0.82,17,0.239,0.344,0.351,0.13,0.584,0.705,0.173,1,1,1,1,1,595000,2023,8
44,3,3,4,1978,51.7296822,19.47140461,5.88,22,0.222,0.617,0.176,0.092,0.354,0.218,0.138,1,1,1,1,1,419000,2023,8
42,2,1,4,,51.81690301,19.43021831,4.28,11,0.332,0.585,0.185,0.279,0.235,3.069,0.227,1,1,1,1,1,285000,2023,8
48.15,2,7,10,1978,51.78825696,19.44320002,1.09,17,0.245,0.564,0.38,0.265,0.199,0.37,0.056,1,1,1,1,1,429000,2023,8
69.92,3,6,7,2017,51.7950676,19.44907989,1.56,23,0.046,0.735,0.047,0.15,0.228,1.147,0.238,1,1,1,1,0,749000,2023,8
44,2,2,2,2020,51.77925333,19.39523368,4.1,3,0.702,1.616,0.432,1.264,0.431,1.132,0.521,1,1,1,1,0,430000,2023,8
88,4,3,3,2012,51.75055995,19.57471602,8.94,4,1.161,2.757,0.675,0.203,0.938,4.529,0.287,1,1,1,1,1,749000,2023,8
53,3,4,4,,51.7905,19.396,4.16,7,0.155,2.388,0.648,0.264,0.326,0.121,0.439,1,1,1,1,1,390000,2023,8
49.52,2,4,4,2020,51.79293,19.43788,1.72,10,0.329,0.525,0.571,0.137,0.421,0.995,0.382,1,1,0,1,0,396000,2023,8
37.2,2,,10,1972,51.7609,19.4326,2.75,5,0.37,0.819,0.234,0.531,0.477,1.964,0.689,1,1,1,1,1,240000,2023,8
86.8,4,1,1,1920,51.7709492,19.4617189,1.27,41,0.31,0.717,0.17,0.032,0.195,0.807,0.18,1,1,1,1,0,570000,2023,8
61,3,4,4,,51.7325,19.4626,5.48,13,0.309,0.772,0.161,0.098,0.338,0.484,0.101,1,1,1,1,1,430000,2023,8
49,3,,,,51.73378631,19.44465946,5.35,17,0.204,1.955,0.512,0.078,0.284,0.475,0.214,1,1,0,1,0,340000,2023,8
51.11,2,4,4,1982,51.7325,19.46527778,5.5,17,0.143,0.606,0.345,0.086,0.438,0.353,0.239,1,1,1,1,1,329000,2023,8
43.19,2,,4,1980,51.7807755,19.52930344,5.13,7,0.311,2.651,0.256,0.427,1.876,1.227,0.211,1,1,1,1,1,299000,2023,8
